Brand,Store Number,Name,Ownership Type,Facility ID,Features - Products,Features - Service,Features - Stations,Food Region,Venue Type,Phone Number,Location,Street Address,Street Line 1,Street Line 2,City,State,Zip,Country,Coordinates,Latitude,Longitude,Insert Date
Starbucks,8270,Stonehenge,Company Owned,8974,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,919-846-0633,"7498 Creedmor Road
Raleigh, NC 27613-1664
(35.887792, -78.678749)",7498 Creedmor Road,7498 Creedmor Road,,Raleigh,NC,27613-1664,US,"(35.887792, -78.678749)",35.887792,-78.678749,06/22/2012 06:31:49 PM
Starbucks,79410,Kroger - Durham #332,Licensed,10181,,,,9999,Unknown,919-383-2249,"3457 Hillsborough Road
Durham, NC 27705-3008
(36.018821, -78.948098)",3457 Hillsborough Road,3457 Hillsborough Road,,Durham,NC,27705-3008,US,"(36.018821, -78.948098)",36.018821,-78.948098,06/22/2012 06:31:49 PM
Starbucks,8171,Duke University Hospital,Licensed,19477,Oven-warmed Food,Wireless Hotspot,,0,Unknown,919-681-9702,"2301 Erwin Rd
Durham, NC 27705-4699
(36.008233, -78.937415)",2301 Erwin Rd,2301 Erwin Rd,,Durham,NC,27705-4699,US,"(36.008233, -78.937415)",36.008233,-78.937415,06/22/2012 06:31:49 PM
Starbucks,76134,Super Target-Durham ST-1872,Licensed,9146,,Starbucks Card Mobile,,9999,Unknown,919-765-0008,"4037 Chapel Hill Blvd
Durham, NC 27707-2516
(35.966583, -78.958499)",4037 Chapel Hill Blvd,4037 Chapel Hill Blvd,,Durham,NC,27707-2516,US,"(35.966583, -78.958499)",35.966583,-78.958499,06/22/2012 06:31:49 PM
Starbucks,8220,The Commons - HT,Company Owned,11430,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,919-403-6676,"1817 Martin Luther King Jr. Pkwy
Durham, NC 27707-3585
(35.960793, -78.958121)",1817 Martin Luther King Jr. Pkwy,1817 Martin Luther King Jr. Pkwy,,Durham,NC,27707-3585,US,"(35.960793, -78.958121)",35.960793,-78.958121,06/22/2012 06:31:49 PM
Starbucks,8875,Alexander Place,Company Owned,12299,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,919-957-9587,"7854 Alexander Promenade Pl., Bldg. H, Ste. 1
Raleigh, NC 27617-7833
(35.9022, -78.7894)","7854 Alexander Promenade Pl., Bldg. H, Ste. 1",7854 Alexander Promenade Pl.,"Bldg. H, Ste. 1",Raleigh,NC,27617-7833,US,"(35.9022, -78.7894)",35.9022,-78.7894,06/22/2012 06:31:49 PM
Starbucks,9715,Mount Moriah,Company Owned,17878,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,919-493-2471,"5319 New Hope Commons Dr, Suite 105
Durham, NC 27707-9610
(35.954334, -78.993956)","5319 New Hope Commons Dr, Suite 105",5319 New Hope Commons Dr,Suite 105,Durham,NC,27707-9610,US,"(35.954334, -78.993956)",35.954334,-78.993956,06/22/2012 06:31:49 PM
Starbucks,13203,"Parkwest Crossing, NC",Company Owned,17290,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,919-293-0232,"4834 NC Hwy 55
Durham, NC 27713-2257
(35.899313, -78.897146)",4834 NC Hwy 55,4834 NC Hwy 55,,Durham,NC,27713-2257,US,"(35.899313, -78.897146)",35.899313,-78.897146,06/22/2012 06:31:49 PM
Starbucks,73929,Harris Teeter - Durham #224,Licensed,7681,,,,9999,Unknown,919-403-0794,"1125 West North Carolina 54 Hwy
Durham, NC 27707-5715
(35.918291, -78.958331)",1125 West North Carolina 54 Hwy,1125 West North Carolina 54 Hwy,,Durham,NC,27707-5715,US,"(35.918291, -78.958331)",35.918291,-78.958331,06/22/2012 06:31:49 PM
Starbucks,9361,Renaissance Center at South Point,Company Owned,15761,"Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,919-544-4132,"6813 Fayetteville Road
Durham, NC 27713-8721
(35.904636, -78.937232)",6813 Fayetteville Road,6813 Fayetteville Road,,Durham,NC,27713-8721,US,"(35.904636, -78.937232)",35.904636,-78.937232,06/22/2012 06:31:49 PM
Starbucks,8715,Eastgate - Chapel Hill,Company Owned,17006,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,919-929-2613,"1800 E Franklin Street, Suite B
Chapel Hill, NC 27514-5816
(35.936579, -79.025396)","1800 E Franklin Street, Suite B",1800 E Franklin Street,Suite B,Chapel Hill,NC,27514-5816,US,"(35.936579, -79.025396)",35.936579,-79.025396,06/22/2012 06:31:49 PM
Starbucks,76480,Super Target Durham SE ST-2069,Licensed,8488,,Starbucks Card Mobile,,9999,Unknown,919-425-0001,"8210 Renaissance Pkwy
Durham, NC 27713-6688
(35.904151, -78.953058)",8210 Renaissance Pkwy,8210 Renaissance Pkwy,,Durham,NC,27713-6688,US,"(35.904151, -78.953058)",35.904151,-78.953058,06/22/2012 06:31:49 PM
Starbucks,8245,Franklin Street,Company Owned,15341,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,919-932-3824,"103 East Franklin Street
Chapel Hill, NC 27514-3620
(35.913425, -79.055433)",103 East Franklin Street,103 East Franklin Street,,Chapel Hill,NC,27514-3620,US,"(35.913425, -79.055433)",35.913425,-79.055433,06/22/2012 06:31:49 PM
Starbucks,10605,Jefferson Village,Company Owned,16979,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-834-4620,"1562 Highwoods Blvd, Suite C
Greensboro, NC 27410-2056
(36.111169, -79.880369)","1562 Highwoods Blvd, Suite C",1562 Highwoods Blvd,Suite C,Greensboro,NC,27410-2056,US,"(36.111169, -79.880369)",36.111169,-79.880369,06/22/2012 06:31:50 PM
Starbucks,11640,University Parkway,Company Owned,17193,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,336-377-2046,"5980 University Parkway
Winston-Salem, NC 27105-1342
(36.187928, -80.27681)",5980 University Parkway,5980 University Parkway,,Winston-Salem,NC,27105-1342,US,"(36.187928, -80.27681)",36.187928,-80.27681,06/22/2012 06:31:50 PM
Starbucks,16923,Target Winston-Salem North T-1077,Licensed,87155,,,,0,Unknown,336-992-1680,"5420 University Pkwy
Winston-Salem, NC 27105-1366
(36.168168, -80.276999)",5420 University Pkwy,5420 University Pkwy,,Winston-Salem,NC,27105-1366,US,"(36.168168, -80.276999)",36.168168,-80.276999,06/22/2012 06:31:50 PM
Starbucks,11926,Reynolda Road,Company Owned,16943,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,336-761-3783,"2898 Reynolda Road
Winston-Salem, NC 27106-3168
(36.144274, -80.300479)",2898 Reynolda Road,2898 Reynolda Road,,Winston-Salem,NC,27106-3168,US,"(36.144274, -80.300479)",36.144274,-80.300479,06/22/2012 06:31:50 PM
Starbucks,8448,Mt. Tabor Place,Company Owned,16507,,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-768-1221,"3327 Robinhood Road
Winston-Salem, NC 27106-5403
(36.116346, -80.312628)",3327 Robinhood Road,3327 Robinhood Road,,Winston-Salem,NC,27106-5403,US,"(36.116346, -80.312628)",36.116346,-80.312628,06/22/2012 06:31:50 PM
Starbucks,70058,Wake Forest University Z. Smith Rey,Licensed,10657,,Wireless Hotspot,,9999,Unknown,336-758-3542,"1834 Wake Forest Rd
Winston-Salem, NC 27109-6000
(36.1135, -80.2422)",1834 Wake Forest Rd,1834 Wake Forest Rd,,Winston-Salem,NC,27109-6000,US,"(36.1135, -80.2422)",36.1135,-80.2422,06/22/2012 06:31:50 PM
Starbucks,8517,Stratford Road,Company Owned,17621,"Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-721-0021,"110 Oakwood Drive, Space U122
Winston-Salem, NC 27103-1957
(36.090028, -80.282711)","110 Oakwood Drive, Space U122",110 Oakwood Drive,Space U122,Winston-Salem,NC,27103-1957,US,"(36.090028, -80.282711)",36.090028,-80.282711,06/22/2012 06:31:50 PM
Starbucks,75827,Embassy Suites Winston-Salem,Licensed,8198,,Wireless Hotspot,,9999,Unknown,336-722-0676,"460 N Cherry St
Winston-Salem, NC 27101-2898
(36.099605, -80.247472)",460 N Cherry St,460 N Cherry St,,Winston-Salem,NC,27101-2898,US,"(36.099605, -80.247472)",36.099605,-80.247472,06/22/2012 06:31:50 PM
Starbucks,11269,Jonestown Rd.,Company Owned,17194,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,336-765-7540,"605 Jonestown Road
Winston-Salem, NC 27103-1206
(36.070825, -80.339134)",605 Jonestown Road,605 Jonestown Road,,Winston-Salem,NC,27103-1206,US,"(36.070825, -80.339134)",36.070825,-80.339134,06/22/2012 06:31:50 PM
Starbucks,11059,Hanes Mall Kiosk,Company Owned,9940,,Starbucks Card Mobile,,9999,Unknown,336-760-0676,"3320 Silas Creek Parkway, PK44
Winston-Salem, NC 27103-3031
(36.073309, -80.29815)","3320  Silas Creek Parkway, PK44",3320  Silas Creek Parkway,PK44,Winston-Salem,NC,27103-3031,US,"(36.073309, -80.29815)",36.073309,-80.29815,06/22/2012 06:31:50 PM
Starbucks,8540,Hanes Mall Blvd.,Company Owned,11503,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-765-2716,"2015 Frontis Plaza Boulevard
Winston Salem, NC 27103
(36.061965345769, -80.307374)",2015 Frontis Plaza Boulevard,2015 Frontis Plaza Boulevard,,Winston Salem,NC,27103,US,"(36.061965345769, -80.307374)",36.061965345769,-80.307374,06/22/2012 06:31:50 PM
Starbucks,11922,Clemmons,Company Owned,6768,"Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,336-766-7866,"2785 Lewisville-Clemmons Rd
Clemmons, NC 27012-8715
(36.022618, -80.381471)",2785 Lewisville-Clemmons Rd,2785 Lewisville-Clemmons Rd,,Clemmons,NC,27012-8715,US,"(36.022618, -80.381471)",36.022618,-80.381471,06/22/2012 06:31:50 PM
Starbucks,76588,Target Kernersville T-2134,Licensed,8391,,Starbucks Card Mobile,,9999,Unknown,336-992-1680,"1024 S Main St
Kernersville, NC 27284-8178
(36.1097, -80.099338)",1024 S Main St,1024 S Main St,,Kernersville,NC,27284-8178,US,"(36.1097, -80.099338)",36.1097,-80.099338,06/22/2012 06:31:50 PM
Starbucks,11058,Kernersville,Company Owned,8575,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-996-2819,"1022-M South Main Street
Kernersville, NC 27284-4603
(36.108744, -80.0981)",1022-M South Main Street,1022-M South Main Street,,Kernersville,NC,27284-4603,US,"(36.108744, -80.0981)",36.108744,-80.0981,06/22/2012 06:31:50 PM
Starbucks,70320,Harris Teeter-Kernersville #250,Licensed,18636,,Wireless Hotspot,,9999,Unknown,336-992-9788,"971 S Main St
Kernersville, NC 27284-7439
(36.107419, -80.094942)",971 S Main St,971 S Main St,,Kernersville,NC,27284-7439,US,"(36.107419, -80.094942)",36.107419,-80.094942,06/22/2012 06:31:50 PM
Starbucks,14437,Battleground Ave & Old Battleground,Company Owned,6588,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,336-282-3177,"4016 Battleground Ave
Greensboro, NC 27410-9799
(36.148827, -79.869942)",4016 Battleground Ave,4016 Battleground Ave,,Greensboro,NC,27410-9799,US,"(36.148827, -79.869942)",36.148827,-79.869942,06/22/2012 06:31:50 PM
Starbucks,76689,Target Greensboro West T-2108,Licensed,10146,,Starbucks Card Mobile,,9999,Unknown,336-455-9900,"1628 Highwoods Blvd
Greensboro, NC 27410-2048
(36.113057, -79.878673)",1628 Highwoods Blvd,1628 Highwoods Blvd,,Greensboro,NC,27410-2048,US,"(36.113057, -79.878673)",36.113057,-79.878673,06/22/2012 06:31:50 PM
Starbucks,72867,Harris Teeter Greensboro #33,Licensed,12184,,,,9999,Unknown,336-856-8140,"701 Frances King St
Greensboro, NC 27410-4105
(36.088795, -79.890911)",701 Frances King St,701 Frances King St,,Greensboro,NC,27410-4105,US,"(36.088795, -79.890911)",36.088795,-79.890911,06/22/2012 06:31:50 PM
Starbucks,8486,Shoppes at Deep River,Company Owned,14724,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,336-841-1072,"3875 John Gordon Lane
High Point, NC 27265-8046
(36.035749, -79.962595)",3875 John Gordon Lane,3875 John Gordon Lane,,High Point,NC,27265-8046,US,"(36.035749, -79.962595)",36.035749,-79.962595,06/22/2012 06:31:50 PM
Starbucks,8374,Guilford College,Company Owned,8950,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-292-3020,"5607 W Friendly Ave
Greensboro, NC 27410-4276
(36.088789, -79.885732)",5607 W Friendly Ave,5607 W Friendly Ave,,Greensboro,NC,27410-4276,US,"(36.088789, -79.885732)",36.088789,-79.885732,06/22/2012 06:31:50 PM
Starbucks,8222,Battleground Village,Company Owned,12101,"Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-282-0445,"2969 Battleground Avenue
Greensboro, NC 27408-2705
(36.114698, -79.835548)",2969 Battleground Avenue,2969 Battleground Avenue,,Greensboro,NC,27408-2705,US,"(36.114698, -79.835548)",36.114698,-79.835548,06/22/2012 06:31:50 PM
Starbucks,9798,Patriots Place,Company Owned,8152,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,336-545-9454,"505 Pisgah Church Road
Greensboro, NC 27455-2523
(36.130846, -79.798979)",505 Pisgah Church Road,505 Pisgah Church Road,,Greensboro,NC,27455-2523,US,"(36.130846, -79.798979)",36.130846,-79.798979,06/22/2012 06:31:50 PM
Starbucks,8696,Shops on Battleground,Company Owned,14033,"Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-272-7061,"1603 Battleground Avenue
Greensboro, NC 27408-8049
(36.08943, -79.81047)",1603 Battleground Avenue,1603 Battleground Avenue,,Greensboro,NC,27408-8049,US,"(36.08943, -79.81047)",36.08943,-79.81047,06/22/2012 06:31:50 PM
Starbucks,8221,Friendly - HT,Company Owned,17520,,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-856-9371,"3330 W. Friendly Ave.
Greensboro, NC 27410-4806
(36.085215, -79.837067)",3330 W. Friendly Ave.,3330 W. Friendly Ave.,,Greensboro,NC,27410-4806,US,"(36.085215, -79.837067)",36.085215,-79.837067,06/22/2012 06:31:50 PM
Starbucks,8148,North Carolina A & T State Univ,Licensed,63123,,Wireless Hotspot,,0,Unknown,336-334-7560,"1601 E Market St
Greensboro, NC 27411-0002
(36.073131, -79.776031)",1601 E Market St,1601 E Market St,,Greensboro,NC,27411-0002,US,"(36.073131, -79.776031)",36.073131,-79.776031,06/22/2012 06:31:50 PM
Starbucks,79343,Harris Teeter-Burlington # 345,Licensed,7811,,,,9999,Unknown,336-585-1444,"2727 Church St.
Burlington, NC 27215-5103
(36.079403, -79.490552)",2727 Church St.,2727 Church St.,,Burlington,NC,27215-5103,US,"(36.079403, -79.490552)",36.079403,-79.490552,06/22/2012 06:31:50 PM
Starbucks,9763,Burlington Mall,Company Owned,8297,"Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,336-538-6997,"451 Huffman Mill Road
Burlington, NC 27215-5118
(36.076192, -79.488787)",451 Huffman Mill Road,451 Huffman Mill Road,,Burlington,NC,27215-5118,US,"(36.076192, -79.488787)",36.076192,-79.488787,06/22/2012 06:31:50 PM
Starbucks,9839,University Commons,Company Owned,7435,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,336-584-6795,"1447 &quot;A&quot; University Drive
Burlington, NC 27215-8790
(36.068164, -79.52042)","1447 ""A"" University Drive","1447 ""A"" University Drive",,Burlington,NC,27215-8790,US,"(36.068164, -79.52042)",36.068164,-79.52042,06/22/2012 06:31:50 PM
Starbucks,76466,Target Burlington T-2037,Licensed,9539,,Starbucks Card Mobile,,9999,Unknown,336-524-9354,"1475 University Dr
Burlington, NC 27215-8768
(36.066375, -79.519907)",1475 University Dr,1475 University Dr,,Burlington,NC,27215-8768,US,"(36.066375, -79.519907)",36.066375,-79.519907,06/22/2012 06:31:50 PM
Starbucks,8325,Four Seasons Towne Centre,Company Owned,15359,,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-218-0501,"400 Four Seasons Town Centre, Space #1K5-A
Greensboro, NC 27407-4743
(36.039256, -79.837098)","400 Four Seasons Town Centre, Space #1K5-A",400 Four Seasons Town Centre,Space #1K5-A,Greensboro,NC,27407-4743,US,"(36.039256, -79.837098)",36.039256,-79.837098,06/22/2012 06:31:50 PM
Starbucks,11057,South Elm & I-85,Company Owned,10351,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,336-273-4531,"3711 Elmsley Street, Suite 108
Greensboro, NC 27406-7039
(36.003126, -79.793084)","3711 Elmsley Street, Suite 108",3711 Elmsley Street,Suite 108,Greensboro,NC,27406-7039,US,"(36.003126, -79.793084)",36.003126,-79.793084,06/22/2012 06:31:50 PM
Starbucks,78069,Furnitureland South,Licensed,6667,,Wireless Hotspot,,9999,Unknown,336-822-3702,"5635 Riverdale Dr
Jamestown, NC 27282-9171
(35.969505, -79.92739)",5635 Riverdale Dr,5635 Riverdale Dr,,Jamestown,NC,27282-9171,US,"(35.969505, -79.92739)",35.969505,-79.92739,06/22/2012 06:31:50 PM
Starbucks,79361,Harris Teeter - High Point #341,Licensed,7176,,,,9999,Unknown,336-869-6317,"265 Eastchester Dr
High Point, NC 27262-7731
(35.984404, -80.01928)",265 Eastchester Dr,265 Eastchester Dr,,High Point,NC,27262-7731,US,"(35.984404, -80.01928)",35.984404,-80.01928,06/22/2012 06:31:50 PM
Starbucks,8961,"High Point, NC",Company Owned,12573,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,336-889-8987,"2101 N. Main Street, Suite 103
High Point, NC 27262-7700
(35.983203, -80.023799)","2101 N. Main Street, Suite 103",2101 N. Main Street,Suite 103,High Point,NC,27262-7700,US,"(35.983203, -80.023799)",35.983203,-80.023799,06/22/2012 06:31:50 PM
Starbucks,72920,Harris Teeter-Chapel Hill #117,Licensed,16341,,,,9999,Unknown,919-933-5700,"2110 Estes Dr
Chapel Hill, NC 27516-9479
(35.936497, -79.14553)",2110 Estes Dr,2110 Estes Dr,,Chapel Hill,NC,27516-9479,US,"(35.936497, -79.14553)",35.936497,-79.14553,06/22/2012 06:31:50 PM
Starbucks,16318,Harris Teeter-Boone #165,Licensed,88375,,,,0,Unknown,,"240 Shadowline Dr
Boone, NC 28607-5088
(36.202817, -81.662142)",240 Shadowline Dr,240 Shadowline Dr,,Boone,NC,28607-5088,US,"(36.202817, -81.662142)",36.202817,-81.662142,06/22/2012 06:31:52 PM
Starbucks,78077,UNC at Chapel Hill - Rams Head Cent,Licensed,10557,,,,9999,Unknown,919-962-6219,"104 Ridge Rd
Chapel Hill, NC 27514-4387
(35.903890222735, -79.04123)",104 Ridge Rd,104 Ridge Rd,,Chapel Hill,NC,27514-4387,US,"(35.903890222735, -79.04123)",35.903890222735,-79.04123,06/22/2012 06:31:53 PM
Starbucks,3048,UNC Hospital,Licensed,18719,Oven-warmed Food,Wireless Hotspot,,0,Unknown,919-445-5404,"101 Manning Dr
Chapel Hill, NC 27514-4220
(35.903457, -79.051587)",101 Manning Dr,101 Manning Dr,,Chapel Hill,NC,27514-4220,US,"(35.903457, -79.051587)",35.903457,-79.051587,06/22/2012 06:31:53 PM
Starbucks,10564,Imperial Corners,Company Owned,6907,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,919-941-0482,"1119 Slater Rd
Durham, NC 27703-8474
(35.879388, -78.847073)",1119 Slater Rd,1119 Slater Rd,,Durham,NC,27703-8474,US,"(35.879388, -78.847073)",35.879388,-78.847073,06/22/2012 06:31:53 PM
Starbucks,70017,RDU Terminal C Central Atrium,Licensed,10007,Lunch,Wireless Hotspot,,9999,Airport,919-840-0506,"1025 Airside Dr
Raleigh, NC 27623
(35.878075, -78.792716)",1025 Airside Dr,1025 Airside Dr,,Raleigh,NC,27623,US,"(35.878075, -78.792716)",35.878075,-78.792716,06/22/2012 06:31:53 PM
Starbucks,16485,RDU-Terminal 1,Licensed,87150,Lunch,,,0,Unknown,919-645-8984,"2400 W Terminal Blvd
Morrisville, NC 27560-9217
(35.86751, -78.804044)",2400 W Terminal Blvd,2400 W Terminal Blvd,,Morrisville,NC,27560-9217,US,"(35.86751, -78.804044)",35.86751,-78.804044,06/22/2012 06:31:53 PM
Starbucks,79375,Harris Teeter-Chapel Hill #137,Licensed,8574,,,,9999,Unknown,919-960-0275,"88 Chatham Downs
Chapel Hill, NC 27517-6111
(35.830889, -79.086669)",88 Chatham Downs,88 Chatham Downs,,Chapel Hill,NC,27517-6111,US,"(35.830889, -79.086669)",35.830889,-79.086669,06/22/2012 06:31:53 PM
Starbucks,70021,RDU Terminal C Presecurity,Licensed,19444,Lunch,Wireless Hotspot,,0,Unknown,919-840-0506,"1025 Airside Dr
Raleigh, NC 27623
(35.8607, -78.7928)",1025 Airside Dr,1025 Airside Dr,,Raleigh,NC,27623,US,"(35.8607, -78.7928)",35.8607,-78.7928,06/22/2012 06:31:53 PM
Starbucks,79699,Harris Teeter-Cary #298,Licensed,6621,,,,9999,Unknown,919-460-3126,"1150 Green Level to Durham Rd
Cary, NC 27519-8341
(35.820702, -78.90107)",1150 Green Level to Durham Rd,1150 Green Level to Durham Rd,,Cary,NC,27519-8341,US,"(35.820702, -78.90107)",35.820702,-78.90107,06/22/2012 06:31:53 PM
Starbucks,9657,Grace Park,Company Owned,14491,"Oven-warmed Food, Sirena Espresso Machine","Starbucks Card Mobile, Wireless Hotspot",Drive-Through,9999,Unknown,919-460-1170,"3608-400 Davis Drive
Morrisville, NC 27560-8818
(35.821637, -78.847563)",3608-400 Davis Drive,3608-400 Davis Drive,,Morrisville,NC,27560-8818,US,"(35.821637, -78.847563)",35.821637,-78.847563,06/22/2012 06:31:53 PM
Starbucks,8545,Weston Parkway,Company Owned,12857,Oven-warmed Food,"Starbucks Card Mobile, Wireless Hotspot",,9999,Unknown,919-677-6104,"125 Weston Parkway
Cary, NC 27513-2424
(35.827473, -78.770416)",125 Weston Parkway,125 Weston Parkway,,Cary,NC,27513-2424,US,"(35.827473, -78.770416)",35.827473,-78.770416,06/22/2012 06:31:53 PM
